Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
RPD,52.54999923706055,52.04999923706055,145.0,62.276000022888184,66.49220039367675,72.89530017852783,82.86460034688315,90.10175020217895,Technology | Software - Application | USA,,,109.56,32.5,-36.7,0.48,2022-08-18,2022-08-12,91.35938994475764,92.00225265141142,2022-08-22,2022-06-27
NET,58.54999923706055,38.959999084472656,221.63999938964844,68.58799991607665,58.29200004577637,62.691300010681154,77.83259997049967,91.92184984207155,Technology | Software - Infrastructure | USA,,,,53.9,-109.3,0.09,2022-08-22,2022-06-21,138.38669362511544,119.02939522692884,2022-04-25,2022-06-27
RPAY,9.25,8.899999618530273,24.53000068664551,10.070749998092653,12.014900035858151,12.389449996948242,13.532433331807455,14.55582498550415,Technology | Software - Infrastructure | USA,,,15.38,39.3,70.3,0.95,2022-08-09,2022-09-06,81.31142359847118,87.66223451153412,2022-08-08,2022-06-20
PYCR,28.46999931335449,20.13999938964844,38.834999084472656,30.364499855041505,28.326599960327147,26.56459997177124,26.8693333307902,27.149050016403198,Technology | Software - Application | USA,,,221.09,26.1,-22.5,0.37,2022-08-19,2022-07-29,116.1899434782505,111.131467006947,2022-08-29,2022-06-20
RGEN,212.7700042724609,137.21000671386722,327.32000732421875,233.78949966430665,207.80460021972652,181.3170002746582,182.00460032145185,196.56275016784667,Healthcare | Medical Instruments & Supplies | USA,76.78,2.19,264.91,27.4,101.5,3.55,2022-08-17,2022-07-20,132.97036120175355,121.68106660779846,2022-09-05,2022-06-20
RDHL,0.8510000109672546,0.6200000047683716,11.18000030517578,0.9667999923229218,0.9426199984550476,1.0950599974393844,1.5007066659132642,1.7928300032019615,Healthcare | Drug Manufacturers - Specialty & Generic | Israel,,,,-11.7,-0.5,0.03,2022-08-29,2022-08-25,105.15942787849166,100.40013610513044,2022-05-02,2022-06-20
PSN,40.88999938964844,29.25,43.84000015258789,42.20550003051758,41.59640007019043,39.8074001312256,38.383000144958494,37.091000118255614,Industrials | Specialty Industrial Machinery | USA,52.83,4.3,25.7,14.7,-41.3,2.17,2022-08-22,2022-08-19,102.67410616401509,103.298181912221,2022-08-22,2022-06-20
RIOT,6.4000000953674325,4.019999980926514,46.27999877929688,7.801750040054321,6.8441000461578385,7.555950021743773,10.997566712697349,14.390950026512144,Technology | Software - Application | USA,,,,112.5,71.9,0.81,2022-08-18,2022-05-19,143.65852750255203,118.85871830544727,2022-04-11,2022-06-20
S,25.0,18.63999938964844,78.52999877929688,27.3020001411438,25.96080005645752,26.479700050354005,30.759333394368486,35.2815500831604,Technology | Software - Infrastructure | USA,,,,123.8,-239.6,-0.51,2022-08-29,2022-08-25,109.61233099162793,104.97536197386131,2022-05-02,2022-06-20
PAYC,345.9200134277344,255.82000732421875,558.969970703125,370.530502319336,338.875400390625,314.0467004394531,320.4587343343099,338.5655502319336,Technology | Software - Application | USA,88.11,3.37,96.62,30.9,36.8,7.17,2022-08-22,2022-07-19,119.15080636647942,112.71521029147426,2022-09-05,2022-06-20
NU,4.71999979019165,,,4.760499978065491,4.3705999851226816,4.570899984836578,5.663866661389669,,Financial | Banks - Diversified | Brazil,,,,244.4,3.8,0.08,2022-08-31,2022-08-24,116.89826579863444,109.15536287513538,2022-04-25,2022-06-20
MTCH,53.83000183105469,53.1870002746582,182.0,61.05699977874756,66.92019912719725,72.5621495819092,83.54343307495117,94.3688247680664,Communication Services | Internet Content & Information | USA,157.86,7.36,30.21,12.2,-55.9,2.06,2022-08-17,2022-08-16,87.86955027333124,88.76646817672092,2022-08-15,2022-06-20
ODFL,272.0,231.30999755859366,373.5799865722656,294.20800323486327,282.33660125732416,272.040556640625,281.8237117513021,295.89560287475587,Industrials | Trucking | USA,25.22,1.44,41.94,26.4,56.5,12.2,2022-08-17,2022-07-18,110.11462139389296,106.06835167951813,2022-08-29,2022-06-20
ORCL,73.83000183105469,63.7599983215332,106.33999633789062,76.66750068664551,74.51013916015627,73.17173667907714,75.08104380289714,78.46167663574221,Technology | Software - Infrastructure | USA,30.76,2.55,126.28,5.5,-47.0,5.89,2022-08-19,2022-08-12,106.18272115030692,103.45481816196079,2022-09-05,2022-06-20
ORLY,707.530029296875,562.9000244140625,750.8800048828125,718.5240051269533,692.8448034667969,664.6161029052735,668.7154020182293,668.5458505249022,Consumer Cyclical | Specialty Retail | USA,22.35,2.38,18.48,5.9,32.1,35.54,2022-08-22,2022-06-23,107.21377378050728,105.57030384554967,2022-08-29,2022-06-20
